playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Allen Iverson,2001,43.2,10.9,27.5,1.3,4.5,8.1,10.0,0.7,3.7,4.4,5.4,2.8,0.2,3.8,1.7,31.3,17171.797
Allen Iverson,2005,42.7,11.3,25.3,1.0,3.1,9.4,11.5,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,22983.281
Anthony Mason,1996,42.6,5.9,11.4,0.0,0.0,4.3,5.8,2.6,8.8,11.4,5.6,1.0,0.4,2.3,2.7,16.1,4814.931
LeBron James,2005,42.6,11.1,23.2,1.6,4.8,7.5,10.1,1.1,6.1,7.2,6.5,1.5,0.8,3.5,2.4,31.3,6456.167
Allen Iverson,2000,42.5,11.0,26.6,1.6,4.8,8.0,10.0,0.7,3.4,4.1,4.9,2.5,0.3,3.2,2.2,31.5,15964.503
Allen Iverson,2002,42.5,10.0,24.1,1.1,3.8,7.0,9.1,0.8,3.4,4.2,5.8,2.7,0.1,3.5,1.9,28.1,18689.483
Gilbert Arenas,2005,42.2,9.4,21.0,2.5,6.8,8.2,10.1,0.8,2.9,3.6,6.0,2.0,0.3,3.7,3.6,29.7,14308.67
Allen Iverson,2004,42.2,10.4,24.3,1.4,4.6,8.5,10.2,0.6,3.2,3.9,8.1,2.4,0.1,4.6,1.9,30.7,20946.515
Allen Iverson,2003,42.2,9.1,23.4,1.2,4.1,7.1,9.5,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,26.4,19966.771
Allen Iverson,2006,42.1,8.9,20.4,1.0,3.1,7.3,9.2,0.3,2.5,2.8,7.1,1.9,0.2,4.0,1.5,26.0,23010.97
Glen Rice,1996,42.1,9.1,19.1,2.6,5.6,5.9,6.8,0.8,3.2,4.0,2.1,0.9,0.3,2.2,2.5,26.8,6938.911
LeBron James,2004,41.9,9.9,21.0,1.4,3.8,6.0,8.0,1.4,6.0,7.4,7.2,2.2,0.6,3.3,1.8,27.2,6187.794
Antoine Walker,2001,41.9,8.2,20.7,2.7,7.8,3.0,4.0,1.8,7.0,8.8,4.7,1.5,0.5,3.1,3.0,22.1,17171.797
Michael Finley,1999,41.8,9.1,20.0,1.2,3.0,3.2,3.9,1.5,4.8,6.3,5.3,1.3,0.4,2.4,2.1,22.6,11770.223
Michael Finley,2000,41.7,8.5,19.0,1.2,3.4,3.1,4.0,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.3,13238.088
Cuttino Mobley,2001,41.6,8.0,18.4,2.0,5.1,3.6,4.2,0.9,3.2,4.1,2.5,1.5,0.5,2.4,2.6,21.7,6736.496
Gary Payton,1999,41.5,9.2,20.4,2.1,6.2,3.8,5.2,1.2,5.3,6.5,8.8,1.9,0.2,2.8,2.2,24.3,18015.754
Shawn Marion,2002,41.5,8.1,18.1,1.7,4.5,3.1,3.7,2.5,7.2,9.7,2.4,2.3,1.2,2.0,2.6,21.0,3421.308
Allen Iverson,1998,41.5,9.3,22.7,1.3,4.5,7.0,9.4,1.4,3.4,4.8,4.7,2.3,0.2,3.4,2.1,27.0,5895.636
Kobe Bryant,2002,41.4,10.7,23.8,1.6,4.1,7.3,8.7,1.3,5.4,6.6,5.8,2.1,0.7,3.5,2.7,30.3,18689.483
Latrell Sprewell,1996,41.4,8.1,18.0,1.8,5.2,6.2,7.3,0.7,3.8,4.6,6.3,1.6,0.6,4.0,1.9,24.2,12137.026
