,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
0,Anthony Mason,38,4,9,0,0,3,4,1,7,8,4,0,0,1,2,12,F
1,LeBron James,38,9,19,1,4,5,8,1,6,7,7,1,0,3,1,27,F-G
2,Latrell Sprewell,37,6,15,1,3,3,4,0,3,4,3,1,0,2,1,18,G
3,Steve Francis,37,6,14,1,2,4,6,1,3,5,6,1,0,3,3,18,G
4,Cuttino Mobley,36,5,13,1,3,2,3,0,3,3,2,1,0,2,2,15,G
5,Jamal Mashburn,36,6,15,1,3,3,4,1,4,5,4,1,0,2,2,17,F
6,Stephon Marbury,36,6,15,1,3,4,5,0,2,2,7,1,0,2,2,19,G
7,Kevin Durant,36,9,18,1,5,6,7,0,6,7,4,1,1,3,1,27,F-G
8,Damian Lillard,36,7,18,2,7,5,6,0,3,4,6,0,0,2,2,24,G
9,Carmelo Anthony,35,8,18,1,3,5,6,1,4,6,2,1,0,2,2,23,F
10,Andrew Wiggins,35,7,16,1,3,3,5,1,3,4,2,0,0,2,2,19,F-G
11,John Wall,35,6,16,0,2,4,5,0,3,4,9,1,0,3,2,19,G
12,Glenn Robinson,35,7,17,0,2,3,3,1,4,5,2,1,0,2,2,20,F
13,Antoine Walker,35,6,16,1,4,2,3,2,5,7,3,1,0,2,2,17,F
14,Allan Houston,35,6,15,1,3,3,3,0,2,3,2,0,0,2,2,18,G
15,Terrell Brandon,35,6,14,0,1,2,3,0,3,3,7,1,0,2,2,16,G
16,Joe Johnson,34,6,13,1,4,2,2,0,3,3,3,0,0,1,1,15,G-F
17,Luol Deng,34,5,12,0,2,2,3,1,4,6,2,0,0,1,1,14,F
18,Michael Dickerson,34,5,13,1,3,2,3,0,2,2,2,0,0,1,2,15,G-F
19,David Wesley,34,4,11,1,3,2,3,0,2,2,4,1,0,1,2,13,G
20,Anthony Davis,34,9,17,0,1,5,7,2,7,10,2,1,2,1,2,24,F-C
21,Monta Ellis,34,6,15,0,2,3,4,0,2,3,4,1,0,2,2,17,G
22,Dwyane Wade,34,8,16,0,1,5,7,1,3,4,5,1,0,3,2,22,G
23,Antawn Jamison,34,7,15,1,3,3,4,2,5,7,1,0,0,1,2,18,F
24,Gilbert Arenas,34,6,15,1,5,5,6,0,3,3,5,1,0,3,3,20,G
25,Stephen Curry,34,8,17,3,8,3,4,0,3,4,6,1,0,3,2,23,G
26,Mookie Blaylock,34,4,12,1,4,1,1,1,3,4,6,2,0,2,1,12,G
27,Bradley Beal,34,7,17,2,6,3,4,0,3,4,3,1,0,2,2,21,G
28,Brandon Roy,34,6,14,0,2,4,5,1,3,4,4,1,0,1,1,18,G
29,Russell Westbrook,34,8,19,1,3,5,7,1,5,7,8,1,0,4,2,23,G
