playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Allen Iverson,40,9,22,1,3,6,8,0,2,3,6,2,0,3,1,26
Anthony Mason,38,4,9,0,0,3,4,1,7,8,4,0,0,1,2,12
LeBron James,38,9,19,1,4,5,8,1,6,7,7,1,0,3,1,27
Michael Jordan,37,10,22,0,1,5,6,1,4,5,4,1,0,2,1,26
Latrell Sprewell,37,6,15,1,3,3,4,0,3,4,3,1,0,2,1,18
Steve Francis,37,6,14,1,2,4,6,1,3,5,6,1,0,3,3,18
Cuttino Mobley,36,5,13,1,3,2,3,0,3,3,2,1,0,2,2,15
Jamal Mashburn,36,6,15,1,3,3,4,1,4,5,4,1,0,2,2,17
Chris Webber,36,8,18,0,0,3,4,2,7,9,4,1,1,2,3,20
Karl Malone,36,8,17,0,0,6,8,1,7,9,4,1,0,2,2,23
Kobe Bryant,36,8,19,1,4,6,7,1,4,5,4,1,0,2,2,25
Stephon Marbury,36,6,15,1,3,4,5,0,2,2,7,1,0,2,2,19
Kevin Durant,36,9,18,1,5,6,7,0,6,7,4,1,1,3,1,27
Damian Lillard,36,7,18,2,7,5,6,0,3,4,6,0,0,2,2,24
Carmelo Anthony,35,8,18,1,3,5,6,1,4,6,2,1,0,2,2,23
Andrew Wiggins,35,7,16,1,3,3,5,1,3,4,2,0,0,2,2,19
John Wall,35,6,16,0,2,4,5,0,3,4,9,1,0,3,2,19
Ray Allen,35,6,14,2,5,3,3,0,3,4,3,1,0,2,2,18
Clyde Drexler,35,6,14,1,5,3,4,1,3,5,5,1,0,2,2,18
Glenn Robinson,35,7,17,0,2,3,3,1,4,5,2,1,0,2,2,20
Chris Bosh,35,6,13,0,1,4,6,2,6,8,1,0,1,1,2,18
Antoine Walker,35,6,16,1,4,2,3,2,5,7,3,1,0,2,2,17
Gary Payton,35,6,14,1,3,2,3,0,3,4,6,1,0,2,2,17
Allan Houston,35,6,15,1,3,3,3,0,2,3,2,0,0,2,2,18
Terrell Brandon,35,6,14,0,1,2,3,0,3,3,7,1,0,2,2,16
Jason Kidd,35,4,10,1,4,2,2,1,5,6,8,1,0,2,1,12
Joe Johnson,34,6,13,1,4,2,2,0,3,3,3,0,0,1,1,15
Luol Deng,34,5,12,0,2,2,3,1,4,6,2,0,0,1,1,14
Michael Dickerson,34,5,13,1,3,2,3,0,2,2,2,0,0,1,2,15
Kevin Garnett,34,7,14,0,0,3,4,2,8,10,3,1,1,2,2,18
