playerName,inflationAdjSalary
Michael Jordan,27877
Shaquille O'Neal,26808
Kevin Garnett,22378
LeBron James,21244
Kobe Bryant,21227
Chris Webber,20768
Kevin Durant,20241
Chris Paul,19782
Blake Griffin,19578
David Robinson,19354
Russell Westbrook,19255
James Harden,18931
Chris Bosh,17876
Dwight Howard,17710
Patrick Ewing,17628
Allan Houston,17428
Stephen Curry,17021
Marc Gasol,17011
Alonzo Mourning,16912
Shawn Kemp,16833
Anthony Davis,16781
Damian Lillard,16774
Gordon Hayward,16699
Karl Malone,16587
Stephon Marbury,16580
Hakeem Olajuwon,16575
Carmelo Anthony,16529
Kevin Love,16465
Al Horford,16432
Tim Duncan,16321
Latrell Sprewell,16287
Scottie Pippen,16134
Bradley Beal,16125
John Wall,16012
Paul George,15957
LaMarcus Aldridge,15947
Gilbert Arenas,15894
Kyrie Irving,15884
Allen Iverson,15767
Chandler Parsons,15620
Joe Johnson,15597
Larry Johnson,15516
Dikembe Mutombo,15473
Dirk Nowitzki,15365
Anfernee Hardaway,15312
Jayson Williams,15256
Otto Porter,15207
DeMar DeRozan,15070
Mike Conley,15041
Andre Drummond,14971
Dwyane Wade,14928
Pau Gasol,14927
Jason Kidd,14912
Brian Grant,14621
Harrison Barnes,14596
Amare Stoudemire,14568
Paul Millsap,14555
Kawhi Leonard,14359
Steve Francis,14258
Michael Finley,14179
Ray Allen,14177
Rasheed Wallace,14176
Andrew Wiggins,14107
Carlos Boozer,14105
Tracy McGrady,14097
Baron Davis,13984
Reggie Miller,13792
Hassan Whiteside,13776
Klay Thompson,13764
CJ McCollum,13648
Yao Ming,13571
Jimmy Butler,13515
Nicolas Batum,13461
Zach Randolph,13450
Jalen Rose,13397
Juwan Howard,13346
DeAndre Jordan,13305
Victor Oladipo,13246
Keith Van Horn,13215
Joel Embiid,13192
Jrue Holiday,13126
Gary Payton,13118
Antonio Davis,13000
Paul Pierce,12987
Danilo Gallinari,12912
Deron Williams,12907
Kevin Johnson,12848
Steven Adams,12777
Jermaine O'Neal,12771
Brandon Roy,12751
Kyle Lowry,12743
Glenn Robinson,12715
Tobias Harris,12701
Vin Baker,12695
Rashard Lewis,12647
Giannis Antetokounmpo,12600
Brook Lopez,12598
Rudy Gay,12542
Tom Gugliotta,12527
Derrick Rose,12426
Elton Brand,12348
Andre Iguodala,12343
Khris Middleton,12313
Tristan Thompson,12289
Nikola Jokic,12255
Bryant Reeves,12228
Antoine Walker,12198
Tyson Chandler,12176
Serge Ibaka,12127
Vlade Divac,12041
Antawn Jamison,12037
Rik Smits,11977
Zydrunas Ilgauskas,11961
John Stockton,11920
Enes Kanter,11809
Grant Hill,11705
Rudy Gobert,11704
Eric Gordon,11701
Draymond Green,11659
Luol Deng,11623
Shareef Abdur-Rahim,11564
Horace Grant,11539
Karl-Anthony Towns,11500
Damon Stoudamire,11435
Derrick Favors,11425
Tony Parker,11316
Derrick Coleman,11296
Kemba Walker,11232
Shawn Marion,11116
Joakim Noah,11115
Michael Redd,11114
Eddie Jones,11083
Lamar Odom,11081
Vince Carter,11071
Evan Turner,10985
Predrag Stojakovic,10968
Wesley Matthews,10958
D'Angelo Russell,10900
Elden Campbell,10882
Allen Crabbe,10873
Tim Thomas,10830
Ricky Rubio,10822
Al Jefferson,10817
Terrell Brandon,10808
Aaron Gordon,10776
Goran Dragic,10757
Glen Rice,10754
Mitch Richmond,10724
Jonas Valanciunas,10720
Raef LaFrentz,10711
Nick Van Exel,10642
Mike Bibby,10569
Antonio McDyess,10542
Nikola Pekovic,10506
Arvydas Sabonis,10460
Jamal Mashburn,10382
Eric Bledsoe,10365
Zion Williamson,10349
Bismack Biyombo,10324
Kent Bazemore,10304
Nikola Vucevic,10297
Wally Szczerbiak,10287
Evan Fournier,10263
Steve Nash,10259
Emeka Okafor,10201
Andrew Bogut,10179
Ryan Anderson,10165
Brandon Knight,10098
Kenyon Martin,10061
Andrew Bynum,10007
Richard Hamilton,9992
Kristaps Porzingis,9930
Theo Ratliff,9894
Andrei Kirilenko,9859
DeMarcus Cousins,9854
Bogdan Bogdanovic,9751
Marcus Camby,9708
Jason Richardson,9696
Jeff Teague,9692
Greg Monroe,9582
Nenê,9532
Ben Gordon,9503
Mehmet Okur,9493
Deandre Ayton,9479
Kerry Kittles,9478
Dale Davis,9455
Manu Ginobili,9434
Clyde Drexler,9429
Jordan Clarkson,9364
David Lee,9316
Steve Smith,9315
Matt Geiger,9313
Tim Hardaway Jr,9299
Ja Morant,9260
Nikola Mirotic,9243
Josh Smith,9241
PJ Brown,9201
Thaddeus Young,9179
Roy Hibbert,9123
Marcin Gortat,9121
Cody Zeller,9108
Markelle Fultz,9040
Jabari Parker,8921
Danny Manning,8899
Timofey Mozgov,8896
Sean Elliott,8882
Larry Hughes,8862
Andrea Bargnani,8858
George Hill,8834
Tyreke Evans,8791
Bojan Bogdanovic,8777
Omer Asik,8771
Zach LaVine,8762
Richard Jefferson,8672
Kenny Anderson,8668
Christian Laettner,8659
Marvin Williams,8627
JJ Redick,8593
Erick Dampier,8591
Reggie Jackson,8492
Marvin Bagley,8481
Rajon Rondo,8467
Gerald Wallace,8467
Michael Kidd-Gilchrist,8461
Monta Ellis,8460
Dennis Schroeder,8459
Darius Miles,8450
Solomon Hill,8444
Shawn Bradley,8390
Toni Kukoc,8380
Corey Maggette,8355
Chauncey Billups,8341
RJ Barrett,8316
Dennis Rodman,8299
Chris Kaman,8292
Brad Miller,8238
Bison Dele,8132
Gorgui Dieng,8105
Lonzo Ball,8089
Jeremy Lin,8075
Tyrone Hill,8036
Devin Booker,7987
Kenneth Faried,7948
Charles Oakley,7928
Tim Hardaway,7886
Kentavious Caldwell-Pope,7848
Danny Granger,7839
Maurice Taylor,7811
Luc Longley,7785
Derek Anderson,7785
Tiago Splitter,7783
Robin Lopez,7747
Cuttino Mobley,7743
Kevin Martin,7729
Eddy Curry,7724
Donyell Marshall,7704
Joe Ingles,7689
Jamal Crawford,7686
Andris Biedrins,7685
Taj Gibson,7685
Anderson Varejao,7658
Rod Strickland,7619
Luka Doncic,7616
Terrence Ross,7610
Samuel Dalembert,7603
David West,7571
Gary Harris,7556
Andre Miller,7550
DeMarre Carroll,7521
Ben Wallace,7520
De'Andre Hunter,7497
Trevor Ariza,7488
Mike Miller,7477
Mirza Teletovic,7474
Andres Nocioni,7473
Al Harrington,7465
Tyrus Thomas,7441
Kelly Olynyk,7425
Jason Terry,7386
Mason Plumlee,7384
Jose Calderon,7381
Mark Price,7330
Greg Ostertag,7306
Derrick McKey,7303
Julius Randle,7279
John Henson,7277
Tayshaun Prince,7269
Jayson Tatum,7263
Ben Simmons,7260
Hidayet Turkoglu,7235
Ian Mahinmi,7216
Jim McIlvaine,7209
Nick Anderson,7187
Troy Murphy,7187
Otis Thorpe,7173
Chris Dudley,7159
Boris Diaw,7133
Caron Butler,7100
Charles Barkley,7083
Courtney Lee,7050
Dwight Powell,7039
Marcus Smart,7011
Meyers Leonard,7001
Jerry Stackhouse,6995
Wilson Chandler,6969
Clint Capela,6961
Kirk Hinrich,6936
Alan Henderson,6928
Kelvin Cato,6928
Darko Milicic,6904
Adonal Foyle,6871
Moe Harkless,6865
Loy Vaught,6846
Chris Mills,6840
OJ Mayo,6836
Danny Green,6807
Rony Seikaly,6791
Darius Garland,6789
Wesley Person,6789
Jeff Green,6788
Austin Croshere,6784
Anthony Mason,6782
Miles Plumlee,6773
Drew Gooden,6761
Stromile Swift,6725
Milos Teodosic,6723
Kenny Thomas,6720
Austin Rivers,6712
Iman Shumpert,6696
Mike Dunleavy,6684
Dante Exum,6668
Alec Burks,6659
Amir Johnson,6633
Shandon Anderson,6611
Kwame Brown,6604
