playerName,seasonStartYear,inflationAdjSalary,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,target
Michael Jordan,1999,27877,37,10,22,0,1,5,6,1,4,5,4,1,0,2,1,26,24
Shaquille O'Neal,2003,26808,33,8,15,0,0,4,9,3,7,10,2,0,2,2,3,22,23
Kevin Garnett,2006,22378,34,7,14,0,0,3,4,2,8,10,3,1,1,2,2,18,20
LeBron James,2011,21244,38,9,19,1,4,5,8,1,6,7,7,1,0,3,1,27,20
Kobe Bryant,2005,21227,36,8,19,1,4,6,7,1,4,5,4,1,0,2,2,25,20
Chris Webber,2001,20768,36,8,18,0,0,3,4,2,7,9,4,1,1,2,3,20,19
Kevin Durant,2013,20241,36,9,18,1,5,6,7,0,6,7,4,1,1,3,1,27,19
Chris Paul,2012,19782,34,6,13,1,3,4,4,0,3,4,9,2,0,2,2,18,19
Blake Griffin,2014,19578,34,8,16,0,1,4,6,2,6,8,4,0,0,2,2,21,19
David Robinson,1999,19354,29,5,10,0,0,4,6,2,6,9,1,1,2,1,2,14,18
Russell Westbrook,2013,19255,34,8,19,1,3,5,7,1,5,7,8,1,0,4,2,23,18
James Harden,2014,18931,33,7,16,2,7,7,8,0,4,5,6,1,0,3,2,24,18
Chris Bosh,2010,17876,35,6,13,0,1,4,6,2,6,8,1,0,1,1,2,18,17
Dwight Howard,2011,17710,33,6,10,0,0,4,8,3,8,12,1,0,1,2,3,16,17
Patrick Ewing,1999,17628,28,5,11,0,0,3,4,1,6,8,1,0,1,2,2,14,17
Allan Houston,2000,17428,35,6,15,1,3,3,3,0,2,3,2,0,0,2,2,18,17
Stephen Curry,2014,17021,34,8,17,3,8,3,4,0,3,4,6,1,0,3,2,23,17
Marc Gasol,2013,17011,32,5,11,0,1,3,4,1,6,7,3,0,1,1,2,14,17
Alonzo Mourning,2001,16912,27,5,9,0,0,3,5,2,5,7,0,0,2,2,3,14,17
Shawn Kemp,1999,16833,26,4,10,0,0,3,5,2,4,7,1,1,0,2,3,13,17
Anthony Davis,2015,16781,34,9,17,0,1,5,7,2,7,10,2,1,2,1,2,24,17
Damian Lillard,2015,16774,36,7,18,2,7,5,6,0,3,4,6,0,0,2,2,24,17
Gordon Hayward,2014,16699,30,5,11,1,3,3,4,0,3,4,3,0,0,1,1,15,17
Karl Malone,1999,16587,36,8,17,0,0,6,8,1,7,9,4,1,0,2,2,23,17
Stephon Marbury,2002,16580,36,6,15,1,3,4,5,0,2,2,7,1,0,2,2,19,17
Hakeem Olajuwon,1999,16575,30,6,12,0,0,2,4,2,6,8,2,1,1,2,2,15,17
Carmelo Anthony,2011,16529,35,8,18,1,3,5,6,1,4,6,2,1,0,2,2,23,17
Kevin Love,2013,16465,31,5,13,1,4,4,5,2,8,11,2,0,0,1,2,17,16
Al Horford,2013,16432,32,5,11,0,1,1,2,2,6,8,3,0,1,1,2,13,16
Tim Duncan,2006,16321,34,7,14,0,0,4,6,2,8,10,3,0,2,2,2,19,16
Latrell Sprewell,2000,16287,37,6,15,1,3,3,4,0,3,4,3,1,0,2,1,18,16
Scottie Pippen,2000,16134,33,5,11,1,3,2,3,1,4,5,5,1,0,2,2,14,16
Bradley Beal,2015,16125,34,7,17,2,6,3,4,0,3,4,3,1,0,2,2,21,16
John Wall,2014,16012,35,6,16,0,2,4,5,0,3,4,9,1,0,3,2,19,16
Paul George,2014,15957,33,6,15,2,6,4,4,0,5,6,3,1,0,2,2,19,16
LaMarcus Aldridge,2012,15947,34,7,16,0,0,3,4,2,5,8,1,0,1,1,2,19,16
Gilbert Arenas,2007,15894,34,6,15,1,5,5,6,0,3,3,5,1,0,3,3,20,16
Kyrie Irving,2015,15884,33,8,17,2,5,3,4,0,2,3,5,1,0,2,2,22,16
